StudentID	Special_Ed	ELL
252904	Z	U
250075	U	O
253820	5	U
255913	A	F
253777	Y	O
252712	4	I
250060	5	O
250212	4	B
254786	A	A
251941	Z	O
253332	A	I
255919	U	I
251283	Y	U
257082	Y	F
254356	U	I
251623	U	F
257411	K	
253912	K	I
253975	A	E
253658	4	U
258638	U	O
255810	Z	D
252979	U	D
257662	5	E
259908	Z	F
257557	U	D
258578	4	B
252174	Z	D
251165	5	I
258962	5	D
257965	Z	A
255324		O
257561	A	I
258199	5	A
252352	U	F
259929	K	A
251314	K	E
252021	5	A
253443	K	F
259195	A	
254676	5	F
256782	A	A
256251	K	I
259538	Y	O
255007	K	F
253287	K	A
257440	5	U
258700	Y	F
256503	Y	D
253087	5	A
259128	A	U
257699	Z	D
259871	K	D
259452		F
258243	4	D
251738	A	U
253215	5	F
259457		O
251255	5	U
253941	4	A
255961	Y	
251687	U	U
254252	A	F
255984	A	U
253228	4	B
257179	Y	O
256374	U	A
252461	Y	I
256325	K	U
253675	K	F
257969	5	I
256613	U	B
258584	5	F
256775	A	E
253731	4	A
252321	4	E
253667	4	B
252648	A	O
251000	Y	A
250106	K	B
259133	A	U
252860	A	A
259750	Y	U
256789	A	O
258372	4	O
258714	Z	B
250350	4	I
253783	5	A
254305	U	O
250223	A	U
255184	4	D
256414	U	A
255120	Y	D
257427	4	B
256163	4	D
250850	Y	F
258012	U	O
257522	4	O
257405	K	U
254868	5	E
254005	K	E
259458	A	
258272	Z	U
251726	A	U
255206	A	O
258856	K	F
257926	K	F
257098	4	F
251811	5	O
257254	U	F
255567	5	U
251317	U	A
253336	Z	D
259011	5	A
254335	4	A
256313	4	D
256085	4	E
256740	U	E
259259	4	O
257748	Z	D
257822	K	A
252121	A	E
257513	U	A
252750	U	A
256388	Z	B
252553	U	D
255745	Y	A
259791	A	A
252570	U	E
252353	5	B
257206	5	I
257009	A	I
252785	4	O
258786	K	I
252695	K	A
255134	5	U
257450	U	E
259734	K	B
254141	4	B
251724	U	E
253990	5	O
259493	4	B
251034	A	A
252029	A	E
255674	K	D
256660	U	O
259954	Y	U
252703	Y	I
258512	A	E
250690	5	B
258235	Z	U
256434	5	U
259726	5	E
253560	4	A
258897	Y	D
252003	4	U
255454	U	F
258623	K	E
250101	Y	B
256365	K	I
251918	4	A
253351	Y	O
253128	A	O
252931	4	E
251427	Z	F
255480	5	O
259672	Z	D
258628		B
254292	Y	U
256297	Y	O
252713	K	U
259862	Y	E
251039	Z	E
259655	Z	E
259833	4	I
256759	4	B
251713	A	B
257364	Y	O
250037	Z	I
251874	4	D
251090	Y	F
250243	A	I
258721	U	B
258206	Z	F
252921	5	A
254127	Z	O
252741	4	O
256604	A	B
250351	K	D
252269	K	E
251491	K	U
256516	K	F
251290	U	O
257616	Z	F
258166	Z	B
257880	4	B
252052	5	U
254352	5	A
257963	U	D
253933	K	B
254508	U	E
256166	A	O
259445	Y	O
253968	U	B
254529	A	I
251122	K	I
252988	4	E
250371	Z	I
250880	Y	O
257864	4	I
253786	4	E
256272	A	B
259203	5	U
250247	U	D
251007	4	D
259664	4	B
256729	U	I
258308	4	E
253540	U	F
257127	Y	F
255175	Z	F
255689	Y	A
257994	4	U
259965	U	F
257332	5	U
250567	4	A
257784	Y	B
253341	A	D
254723	A	A
258992	A	D
252903	5	O
255274	U	F
256378	4	I
255056	K	D
256735	U	I
257832	4	I
259828	5	O
257954	K	I
255053	5	A
258776	A	E
259354	4	B
251969	A	O
252884	K	A
250070	5	D
254148	A	U
251991	Z	B
255210	A	E
252515	K	D
253946	K	
251021	A	I
250663	K	F
259623	K	A
253359	K	A
254122	Y	U
259430	U	B
250558	A	U
251009	4	B
256068	Z	F
254669	5	
257893	Y	O
253175		
251343	K	I
250692	5	A
259304	Y	E
259885	Z	A
252707	U	F
258382	Z	I
259542	Z	I
255136	4	A
256450	4	D
250297	Y	D
252698	Z	D
257055	Z	B
252856	Y	U
259964	A	D
252108	5	
254134	4	U
251060	Y	E
255883	Y	F
251146	4	D
259845	Z	U
251698	Z	U
250200	Z	F
256642	K	I
250915	K	E
255290	A	A
256273	5	A
256842	Z	E
250979	Y	F
258061	Y	U
255220	K	B
251537		E
257063	4	A
250015	A	
255479	Y	B
253584	A	I
258583	Z	F
253015	A	D
251696	5	A
251796	A	D
259109	K	
258688	4	D
257504	4	F
250822	U	F
259829	K	B
258665	5	O
257001	U	B
250180	A	F
256200	Y	U
251022	U	A
250196	Y	B
255219	U	E
254833	Y	B
254149	K	O
257323	Y	B
254813	4	F
251489	A	B
257157	5	O
253189	Y	E
252338	4	O
259821	A	O
257485	Y	E
252604	U	O
254737	K	B
252217	Z	F
252757	Z	F
259358	Z	A
257429	K	O
250574	5	B
258304	A	E
254718	Y	E
259735	K	B
255726	5	O
255764	5	O
255695	K	U
254845	K	A
254581	K	F
256674	A	O
255304	U	A
251931	4	B
250900	4	B
254610	U	E
253404	4	E
252038	A	B
258823		A
257931	K	F
256749	Z	A
253743	4	A
252436	Y	I
257117	K	D
259940	4	
250502	Y	U
257611		B
255732	Z	D
252514	5	A
258599	5	B
252590	A	F
255924	Z	D
250632	4	E
256764	5	F
251937	Y	A
258558	4	B
255658	Y	O
257826	K	E
252279	Z	F
256195	K	I
251406	U	B
255271	4	B
259256	K	U
258775	Z	U
255587	4	U
259772	U	B
251179	U	E
254091	Z	E
258155	4	I
251930	K	F
250861	5	U
259184	5	D
253456	U	A
253869	U	A
252542	U	F
257415	U	B
256003	A	A
259550	U	A
258499	Y	B
252871	U	B
251222	Y	U
251813	K	B
257058	Z	O
256678	A	D
251336	Z	U
252106	5	U
259887	A	
255196	U	A
253751	A	A
250639	A	D
252803	U	E
256274	Y	F
253033	Z	O
254257	K	
254520	U	E
255949	Z	A
258026	K	I
258821	5	I
259842	5	B
250662	Y	B
255408	U	I
255717	5	
259319	4	A
254497	A	O
255819	Z	I
258095	K	F
254854	4	A
259248	Z	D
256608	U	D
258882	Z	A
255291	4	F
250780	4	I
256087	4	A
254026	4	F
251431	K	D
251429	K	B
252525	A	F
251106	Y	U
254677	Z	
257690	Y	F
259291	Y	A
257331	4	E
250582	4	I
258795	Z	F
257034	Y	O
251266	A	I
251629	Z	I
259095	4	E
256945	5	E
256506	4	I
258552	K	A
258716	Z	B
253193	Y	I
250086	5	B
254358	U	E
254040	4	A
250215	K	B
259048	Y	E
258344	5	D
254593	K	B
253956		U
255018	Z	A
251340	4	E
255325	U	F
257529	K	O
255231	5	
255723	U	A
256402	Y	B
255412	Y	B
254507	Y	O
255996	U	I
250984	4	U
252341	U	F
256841	Y	E
253126	4	I
254476	Z	I
257186	A	E
251656	U	U
257677	K	
251465	K	F
257470	5	D
258948	4	I
258365	A	O
250419	4	F
257751	Y	F
255474	U	B
255083	5	A
253100	K	D
251244	K	D
250818	5	I
258131	A	D
253127	A	F
