"StudentID"	"School"
"257213"	"A"
"255735"	"B"
"254427"	"B"
"257689"	"B"
"253216"	"B"
"255711"	"B"
"257755"	"B"
"254496"	"B"
"256538"	"A"
"259220"	"B"
"251296"	"A"
"258694"	"B"
"254981"	"B"
"254148"	"B"
"256788"	"B"
"256711"	"A"
"251862"	"B"
"256677"	"B"
"253343"	"B"
"257701"	"A"
"251740"	"A"
"258685"	"B"
"252644"	"B"
"252911"	"B"
"251934"	"A"
"256783"	"B"
"251036"	"A"
"256883"	"B"
"250909"	"B"
"259890"	"A"
"251950"	"A"
"258185"	"B"
"253455"	"B"
"259285"	"B"
"256514"	"A"
"251762"	"A"
"251290"	"B"
"257109"	"A"
"258735"	"A"
"253672"	"A"
"250338"	"A"
"252509"	"B"
"259924"	"B"
"254578"	"A"
"259460"	"B"
"251618"	"A"
"250468"	"B"
"254279"	"A"
"255185"	"B"
"256513"	"B"
"254324"	"A"
"251646"	"A"
"255065"	"A"
"253549"	"B"
"255375"	"A"
"257447"	"A"
"256034"	"B"
"258212"	"B"
"254417"	"B"
"253697"	"B"
"258083"	"B"
"253214"	"A"
"259833"	"A"
"252221"	"B"
"258358"	"B"
"255213"	"B"
"251183"	"A"
"252588"	"B"
"251899"	"B"
"252158"	"B"
"250646"	"B"
"253146"	"A"
"254446"	"A"
"254071"	"A"
"259784"	"A"
"255114"	"A"
"251882"	"B"
"256794"	"A"
"254649"	"A"
"259534"	"B"
"250756"	"B"
"255167"	"A"
"250904"	"A"
"251811"	"B"
"253051"	"B"
"250433"	"B"
"257688"	"A"
"254918"	"A"
"253279"	"A"
"254223"	"B"
"255675"	"A"
"256292"	"B"
"251444"	"B"
"257669"	"A"
"258513"	"B"
"255910"	"A"
"256764"	"A"
"257239"	"A"
"257197"	"B"
"252455"	"B"
"256782"	"B"
"251655"	"B"
"252971"	"B"
"254961"	"A"
"254893"	"B"
"256425"	"B"
"259360"	"A"
"252792"	"B"
"252213"	"A"
"255270"	"A"
"256070"	"A"
"256011"	"A"
"250868"	"B"
"254667"	"B"
"251690"	"A"
"254933"	"A"
"256723"	"B"
"250958"	"B"
"250889"	"A"
"252927"	"A"
"256153"	"B"
"254963"	"A"
"252068"	"A"
"257742"	"B"
"252859"	"A"
"259333"	"A"
"252956"	"B"
"256119"	"A"
"252448"	"B"
"250323"	"B"
"259308"	"B"
"258339"	"B"
"257611"	"B"
"258782"	"B"
"254854"	"A"
"259233"	"A"
"256647"	"B"
"254686"	"B"
"259575"	"B"
"252227"	"A"
"251594"	"A"
"255917"	"A"
"254167"	"A"
"257647"	"B"
"250683"	"B"
"259440"	"A"
"253096"	"B"
"253631"	"B"
"254529"	"A"
"252908"	"B"
"253056"	"A"
"250716"	"B"
"256825"	"A"
"258517"	"B"
"253954"	"B"
"254487"	"B"
"259618"	"B"
"253047"	"B"
"255136"	"A"
"258338"	"B"
"256546"	"A"
"259071"	"B"
"255294"	"B"
"250633"	"A"
"256667"	"B"
"252291"	"B"
"259816"	"A"
"254539"	"B"
"258528"	"B"
"259064"	"A"
"259461"	"B"
"258999"	"A"
"254620"	"A"
"255621"	"A"
"252787"	"B"
"256658"	"B"
"253234"	"B"
"254313"	"B"
"255182"	"B"
"252078"	"A"
"257876"	"B"
"256079"	"B"
"252725"	"B"
"252739"	"B"
"253289"	"B"
"252686"	"B"
"252492"	"B"
"250744"	"B"
"250321"	"A"
"257425"	"A"
"257288"	"A"
"253831"	"B"
"254742"	"B"
"254770"	"A"
"253158"	"B"
"253981"	"B"
"251530"	"B"
"251350"	"B"
"258059"	"B"
"256617"	"B"
"251914"	"B"
"251092"	"A"
"251748"	"A"
"254205"	"A"
"259771"	"B"
"251408"	"A"
"259564"	"B"
"251681"	"A"
"259685"	"A"
"259732"	"A"
"255101"	"B"
"254361"	"A"
"252370"	"B"
"258498"	"A"
"252410"	"A"
"258626"	"B"
"257026"	"A"
"253077"	"A"
"257092"	"A"
"253858"	"A"
"254373"	"A"
"251874"	"A"
"255476"	"B"
"257546"	"B"
"253882"	"A"
"252744"	"B"
"250720"	"A"
"250910"	"B"
"258345"	"A"
"252379"	"B"
"250872"	"B"
"257601"	"A"
"256566"	"A"
"250024"	"A"
"253793"	"B"
"251971"	"B"
"250701"	"A"
"251185"	"B"
"257084"	"B"
"255138"	"B"
"255299"	"A"
"251062"	"A"
"254996"	"B"
"253797"	"B"
"255332"	"A"
"258789"	"B"
"257164"	"B"
"259105"	"B"
"252259"	"B"
"258169"	"B"
"251179"	"A"
"256833"	"A"
"254788"	"B"
"252053"	"B"
"258650"	"B"
"258184"	"B"
"254445"	"A"
"259436"	"A"
"251201"	"A"
"253561"	"B"
"254943"	"A"
"259192"	"B"
"258541"	"A"
"256180"	"A"
"257400"	"B"
"255688"	"B"
"256633"	"A"
"257126"	"A"
"255267"	"B"
"258512"	"A"
"252854"	"A"
"255036"	"A"
"255503"	"A"
"259116"	"A"
"258114"	"B"
"256811"	"B"
"251357"	"B"
"257740"	"A"
"252393"	"B"
"258096"	"B"
"257821"	"B"
"250113"	"A"
"251936"	"B"
"251414"	"B"
"253481"	"A"
"257502"	"A"
"250968"	"A"
"259941"	"A"
"251272"	"A"
"259976"	"B"
"250075"	"B"
"254331"	"B"
"259906"	"A"
"259654"	"B"
"257421"	"A"
"254418"	"B"
"257035"	"A"
"259752"	"B"
"251629"	"A"
"253278"	"A"
"252526"	"A"
"254351"	"B"
"255866"	"B"
"254009"	"B"
"259689"	"B"
"250601"	"A"
"256912"	"B"
"256049"	"B"
"257834"	"A"
"254254"	"A"
"253295"	"A"
"256414"	"A"
"254211"	"A"
"256757"	"B"
"256039"	"B"
"251888"	"B"
"253756"	"A"
"254510"	"A"
"255987"	"B"
"258333"	"A"
"253678"	"A"
"252334"	"A"
"255135"	"A"
"255508"	"A"
"252561"	"B"
"252875"	"A"
"259793"	"B"
"253178"	"A"
"257980"	"A"
"254395"	"A"
"259714"	"A"
"253482"	"A"
"252773"	"B"
"253294"	"A"
"255725"	"B"
"256232"	"B"
"253264"	"B"
"257076"	"A"
"256081"	"B"
"250231"	"B"
"250406"	"A"
"259155"	"B"
"254135"	"A"
"258017"	"B"
"256730"	"A"
"250056"	"B"
"259318"	"B"
"254504"	"B"
"251291"	"B"
"259508"	"B"
"251398"	"A"
"258743"	"B"
"255889"	"A"
"252678"	"A"
"254320"	"A"
"250260"	"B"
"257402"	"B"
"256841"	"B"
"256709"	"A"
"258366"	"B"
"254017"	"A"
"250401"	"B"
"257985"	"A"
"254633"	"A"
"251755"	"B"
"254669"	"B"
"253171"	"A"
"254216"	"A"
"258560"	"B"
"255442"	"B"
"258388"	"A"
"252452"	"A"
"253208"	"B"
"250858"	"B"
"253627"	"B"
"256984"	"A"
"254824"	"A"
"250775"	"A"
"254465"	"B"
"259292"	"B"
"257751"	"B"
"251929"	"B"
"251394"	"A"
"253028"	"B"
"255743"	"A"
"252776"	"A"
"255586"	"B"
"258198"	"B"
"259510"	"B"
"250483"	"A"
"253977"	"A"
"254915"	"B"
"257687"	"A"
"256998"	"A"
"254503"	"B"
"254553"	"B"
"251853"	"A"
"251744"	"A"
"257696"	"A"
"254521"	"A"
"253197"	"A"
"257636"	"B"
"258977"	"A"
"255076"	"A"
"259195"	"A"
"259760"	"A"
"256461"	"A"
"250262"	"B"
"255006"	"B"
"257640"	"A"
"258588"	"B"
"254338"	"B"
"256152"	"B"
"254879"	"A"
"253005"	"B"
"258265"	"B"
"254037"	"B"
"258351"	"B"
"251465"	"B"
"255262"	"B"
"257040"	"B"
"250977"	"A"
"251611"	"B"
"256952"	"A"
"253319"	"A"
"253926"	"A"
"258796"	"B"
"259748"	"B"
"258590"	"B"
"257414"	"A"
"250206"	"B"
"258494"	"B"
"259872"	"B"
"258391"	"B"
"253529"	"B"
"251446"	"B"
"250235"	"A"
"250957"	"B"
"254931"	"A"
"254033"	"B"
"250273"	"A"
"256163"	"A"
"254651"	"A"
"252723"	"A"
"258516"	"A"
"254711"	"A"
"254428"	"A"
"255301"	"B"
"258639"	"B"
"259213"	"B"
"253150"	"A"
"257192"	"A"
"250022"	"B"
"253846"	"A"
"252606"	"A"
"259640"	"B"
"253874"	"B"
"251867"	"B"
"258380"	"B"
"254607"	"B"
"254907"	"A"
"254900"	"A"
"255879"	"A"
"258469"	"A"
"254882"	"A"
"253757"	"B"
"259810"	"B"
"255600"	"B"
"254442"	"B"
"256346"	"A"
"258440"	"B"
"250207"	"B"
"258127"	"A"
"255359"	"B"
"257453"	"B"
"251751"	"A"
"254701"	"B"
"250877"	"B"
"257442"	"B"
"251741"	"B"
"254467"	"B"
"259176"	"A"
"257031"	"A"
"254897"	"B"
"256246"	"B"
"252761"	"B"
"251318"	"B"
"253373"	"B"
"254552"	"A"
"256122"	"B"
"253778"	"A"
"253297"	"B"
"257315"	"A"
"257455"	"B"
"250298"	"B"
"258683"	"A"
"258844"	"B"
"256028"	"B"
"258019"	"B"
"256320"	"B"
"250938"	"B"
"258443"	"A"
"257770"	"A"
"253387"	"B"
"253017"	"A"
"257710"	"A"
"257922"	"A"
"259584"	"B"
"254906"	"A"
"251365"	"A"
"255281"	"A"
"257415"	"B"
"253162"	"A"
"252013"	"A"
"252487"	"B"
"253154"	"B"
"258799"	"B"
"250882"	"A"
"254134"	"A"
"256744"	"A"
"251388"	"A"
"258458"	"A"
"254490"	"A"
"259595"	"A"
"255371"	"A"
"251215"	"B"
"250660"	"B"
"252637"	"A"
"255965"	"B"
"252425"	"A"
"258686"	"A"
"254533"	"A"
"258274"	"A"
"259434"	"B"
"256907"	"A"
"251328"	"A"
"258026"	"B"
"257339"	"A"
"257153"	"B"
"251172"	"A"
"256966"	"A"
"253655"	"B"
"255218"	"A"
"252037"	"A"
"255686"	"B"
"250622"	"B"
"253667"	"A"
"257670"	"B"
"253157"	"B"
"256221"	"A"
"251767"	"A"
"250715"	"B"
"254966"	"A"
"257730"	"B"
"255155"	"B"
"259674"	"A"
"256395"	"A"
"250554"	"B"
"250078"	"A"
"250082"	"A"
"253860"	"B"
"256224"	"B"
"256256"	"A"
"254782"	"B"
"253729"	"A"
"257039"	"B"
"251086"	"B"
"250863"	"B"
"250789"	"B"
"250822"	"B"
"258876"	"B"
"253612"	"A"
"258910"	"A"
"250791"	"A"
"252275"	"A"
"251876"	"A"
"254342"	"B"
"252021"	"B"
"255392"	"A"
"255598"	"B"
"256564"	"B"
"259799"	"B"
"258988"	"B"
"250061"	"B"
"257961"	"A"
"259830"	"A"
"252548"	"A"
"258282"	"A"
"251134"	"B"
"254680"	"B"
"255115"	"A"
"254206"	"B"
"258943"	"A"
"259401"	"A"
"250310"	"A"
"257746"	"A"
"251274"	"B"
"258636"	"B"
"259735"	"B"
"259009"	"A"
"259058"	"B"
"257630"	"B"
"251768"	"A"
"254425"	"A"
"252852"	"B"
"250962"	"A"
"255023"	"A"
"254584"	"A"
"250982"	"B"
"250748"	"B"
"256352"	"A"
"259728"	"B"
"256452"	"B"
"251482"	"B"
"255588"	"A"
"256880"	"A"
"251920"	"A"
"254500"	"A"
"250570"	"A"
"252632"	"B"
"255316"	"A"
"257628"	"B"
"257917"	"B"
"259309"	"A"
"258020"	"B"
"259803"	"B"
"256127"	"B"
"258356"	"B"
"259700"	"B"
"252681"	"A"
"256592"	"A"
"257218"	"A"
"252329"	"A"
"252962"	"A"
"252688"	"B"
"252909"	"B"
"257274"	"B"
"253327"	"A"
"254131"	"A"
"251975"	"A"
"257753"	"A"
"251881"	"A"
"250902"	"B"
"256981"	"A"
"250093"	"B"
"253141"	"B"
"253280"	"A"
"252620"	"A"
"254502"	"B"
"255795"	"A"
"253009"	"A"
"251041"	"A"
"251368"	"B"
"251303"	"A"
"257270"	"A"
"252582"	"B"
"252269"	"A"
"253572"	"B"
"250448"	"A"
"255475"	"A"
"256310"	"A"
"255791"	"B"
"254752"	"B"
"250844"	"B"
"255977"	"A"
"252179"	"B"
"255884"	"A"
"253805"	"B"
"253044"	"B"
"258016"	"B"
"255355"	"B"
"256784"	"A"
"251254"	"A"
"251887"	"A"
"251572"	"B"
"252097"	"A"
"256933"	"B"
"259065"	"B"
"253798"	"A"
"251982"	"B"
"252544"	"A"
"259264"	"B"
"258447"	"B"
"255013"	"B"
"253806"	"B"
"252252"	"A"
"259283"	"A"
"256996"	"B"
"253029"	"B"
"255844"	"A"
"258633"	"A"
"252600"	"B"
"254991"	"B"
"258041"	"A"
"251240"	"B"
"252405"	"A"
"251264"	"A"
"257357"	"B"
"259959"	"A"
"253819"	"B"
"257129"	"A"
"253533"	"B"
"252190"	"A"
"255457"	"B"
"258120"	"B"
"252468"	"A"
"259180"	"B"
"256895"	"A"
"250083"	"B"
"258835"	"A"
"258418"	"B"
"259446"	"B"
"255861"	"B"
"252752"	"A"
"254750"	"A"
"250286"	"B"
"251405"	"A"
"258608"	"B"
"255834"	"A"
"250473"	"B"
"250463"	"A"
"257090"	"B"
"257417"	"B"
"257550"	"B"
"251391"	"B"
"253787"	"B"
"259327"	"A"
