StudentID	subject	score
259392	Ela	36
257193	Ela	67
256465	soc	93.5
259953	Math	31
253458	SOC	96.5
255874	MATH	71
252442	SOC	25
253244	ela	63
253997	ELA	40.5
251720	ela	73.5
255856	soc	87.5
255180	ela	66
251057	Math	48
257306	math	82.5
254396	Ela	98
255117	Soc	46
257160	Ela	51.5
256369	MATH	100
255890	SOC	77.5
258065	Math	70.5
258644	ela	88.5
253701	ela	29.5
255116	math	93.5
257393	ELA	30
254098	SOC	45.5
257024	ela	44
254083	Math	44
258542	ELA	94
259252	Soc	94
253805	math	59
250175	Math	88
254993	Ela	95.5
252509	MATH	48
259152	Math	41
253704	Ela	87
253686	math	30
252710	ela	30
255992	SOC	68.5
259456	SOC	26
254910	Soc	94.5
254974	math	83.5
252300	Math	48
259844	SOC	64.0355591694824
254639	Ela	36
256128	Soc	61
255078	SOC	25
257345	math	96.5
253455	math	87.5
255234	Soc	32
251485	MATH	58
253319	ELA	57
259596	Math	39.5
251056	ELA	33
251983	soc	93.5
255462	soc	59.5
259458	soc	30.5
258951	Math	70.5
250465	MATH	83
256398	MATH	46
254281	SOC	72.5
254142	math	58
253415	SOC	65.7656966941431
258289	SOC	86.5
256965	soc	42
252461	Math	73
257587	math	88.5
255336	ela	99.5
250392	ela	54.5
252585	math	64.5
255332	MATH	81
251616	Ela	77.5
258795	Math	39
253643	Soc	54
250063	SOC	25.5
251674	math	85
251291	ELA	88.5
259297	ela	84.5
256024	math	95.5
259875	ELA	45
254274	ela	86.5
251581	ELA	43.5
257781	soc	71.5
253578	MATH	83
253928	ela	45
255723	ELA	62.5
250756	Ela	34
257412	ELA	79
256587	SOC	38
256610	ela	51
253547	MATH	87.5
251694	Math	90.5
250963	soc	88
257067	MATH	67
256558	math	99.5
251023	soc	51.5
259304	Soc	45.5
251072	math	52.5
251275	Soc	100
256707	soc	31
256519	Math	64.7016131659038
256871	Math	66
250115	Ela	84
259333	soc	55
256797	Math	28.5
252487	SOC	72
256078	Math	63
259601	soc	77
256776	Ela	68.5
257670	ELA	76.5
259652	Soc	77
252588	Math	45.5
256866	Soc	92
251556	ela	42.5
251201	soc	73
256574	ELA	33
251341	ela	34
251800	Soc	28
256659	Soc	92
252090	Math	76.5
254423	Soc	68
255450	math	38
250402	math	49
257160	SOC	39
258864	ELA	52
252331	SOC	49
253530	ela	87
254484	MATH	88
250396	SOC	61.5
257034	Ela	95
259938	Math	42.5
256987	Soc	54
254058	math	92.5
257435	SOC	37.5
257073	MATH	92.5
254816	ela	87.5
251133	ela	91
254594	ela	61.5
257361	MATH	47.5
258298	Soc	78.5
252646	MATH	77
253019	math	75
255136	Soc	28
254149	soc	32.5
251141	Soc	43.5
258172	ela	86.5
253672	MATH	64.6672652936541
255282	soc	75.5
250130	MATH	73
250330	SOC	75.5
256939	Ela	42
259823	math	84.5
254940	Ela	81.5
259430	Soc	54
257111	math	90.5
257471	Ela	45
253860	SOC	77
256662	Math	50
253432	Soc	50.5
250349	MATH	53
250544	Soc	48.5
258740	SOC	76.5
257992	ela	29
255119	math	43.5
258383	ELA	83
250991	math	43
255991	Ela	89
255426	math	30.5
250145	soc	82.5
258639	Math	66.5
251491	ELA	56
256078	soc	64.0355591694824
251460	ELA	57
254545	ela	49.5
253558	SOC	49.5
255127	soc	91.5
253706	ela	83.5
254697	MATH	67
251970	soc	73
251784	soc	100
259149	MATH	33.5
250682	soc	70.5
259680	MATH	38
254082	ela	47
256712	MATH	41.5
252527	SOC	64.7016131659038
254091	Ela	43.5
256297	math	64.0355591694824
252279	Soc	76.5
257960	MATH	95
259548	Soc	33.5
256867	soc	50
251692	Soc	77.5
250023	soc	84.5
253308	ela	38
255021	Ela	44
255818	Soc	93.5
255733	soc	69
252487	math	41.5
258472	math	50
255039	Math	34
253732	ela	98
256145	MATH	83
253100	Ela	50.5
257023	math	38
256116	ela	85.5
257591	Ela	72.5
257102	SOC	92
258189	Ela	58
250199	Math	90.5
252547	Math	64.1138002085499
255989	Soc	98.5
255083	MATH	88
258189	ELA	99
259249	ela	50
257272	SOC	72.5
250709	Math	83.5
253017	math	39
256834	MATH	69
256283	math	61
259821	Soc	96.5
258073	ELA	56.5
258794	ela	54
257309	ELA	65
258265	ELA	94
254072	soc	52
252572	MATH	71
250373	math	91
255743	ela	64.6672652936541
258665	soc	98
258214	MATH	81.5
258642	math	73.5
251974	ela	87
253701	soc	57.5
257066	ela	52.5
250140	ela	94.5
253326	soc	86
253755	Ela	81
251797	soc	41.5
251777	soc	66
259484	Math	60
257191	soc	98.5
252766	math	94.5
256832	math	34.5
254708	MATH	31
258421	Math	45
256000	Ela	33
253615	ELA	30
255140	ELA	92
256324	Ela	49.5
252869	Ela	56.5
250542	MATH	93
259702	ELA	83
255793	ELA	45
255543	Ela	74.5
253089	Soc	68.5
258503	MATH	32.5
253450	ela	71.5
253703	ELA	67
253945	Math	39.5
258713	Ela	72
251017	soc	65.6714702318422
254820	soc	42
252068	MATH	50.5
256427	Ela	52.5
257678	Math	83.5
250982	Ela	37.5
255037	ela	33.5
252703	soc	81
259383	SOC	40
253170	ela	30
259338	SOC	25
259550	soc	30
257063	soc	44.5
255037	SOC	36
255253	SOC	35
256635	soc	81
256739	ELA	25.5
258393	Math	70
253893	ELA	32
250542	Soc	32
257958	Math	33
254215	ELA	48
252327	math	60.5
255936	math	49.5
258474	Soc	98
253705	ELA	54.5
250860	math	27.5
259147	soc	87
253989	Math	99.5
250794	Math	59.5
255069	Ela	61.5
253073	Ela	65.5
251153	Soc	61.5
257360	soc	42.5
255294	Math	52.5
257977	ela	36.5
251183	soc	25
256456	Math	85
258809	Math	35
254042	MATH	41
250838	MATH	64
255383	ela	91
253796	ela	32.5
256241	SOC	90
259571	Soc	56
251522	SOC	33
251372	SOC	68.5
254547	ELA	64.7016131659038
257874	ela	78.5
253683	ela	41
255634	ELA	62.5
257166	SOC	100
255831	Ela	91.5
251986	ela	64.7016131659038
258085	Ela	91
250720	soc	85.5
258689	ELA	29.5
258491	ELA	97.5
255491	Math	81
255756	math	74
259660	math	83
250760	Math	34.5
255805	soc	26.5
256895	math	54
255173	SOC	84.5
257555	Ela	85.5
252314	MATH	47.5
255801	soc	80.5
253350	MATH	66.5
252280	SOC	95
250028	SOC	91
257969	math	95.5
258495	soc	45.5
255959	SOC	69
251739	Soc	52.5
256978	Ela	100
251323	SOC	80.5
259448	Ela	83.5
254555	Ela	46
256224	Soc	65
254164	MATH	82
256803	MATH	45.5
258049	Soc	93.5
259925	MATH	64.5
255531	ELA	58.5
259639	soc	83.5
253043	SOC	89.5
258061	ela	42
250799	ela	82
259772	Soc	47
256799	ELA	60.5
256241	ela	50.5
255522	ELA	63
253753	Math	64.6672652936541
257803	math	65.5
256612	ela	32.5
254239	SOC	26
253133	ela	51
254500	Math	64.6473266794346
250092	SOC	60
256742	math	51.5
252366	Math	60.5
257282	Math	84
257153	soc	56
258664	Ela	29
252330	soc	78.5
255407	Ela	45
254661	MATH	69
257584	soc	65
256167	ELA	60
256414	Soc	77
258171	ela	78
259360	Ela	47
254189	SOC	30
256098	ela	79
257465	MATH	82
253327	ELA	29
253657	math	83
253029	ELA	89.5
255393	ela	44
250936	SOC	50
254839	MATH	33
255959	soc	41
254571	Soc	77.5
257919	Ela	53.5
258212	Math	30.5
256664	soc	52.5
257781	soc	38.5
251078	Math	87.5
253998	Soc	35
259912	math	51
253756	soc	79.5
254552	soc	57.5
251226	ELA	48.5
255142	MATH	32.5
251843	Ela	70
251721	Math	81
259475	ELA	77.5
